Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
3.7;0.53740781;0.416495766;0.382202899;0.408486284;0.480465681;0.519673064;0.660818834;0.51287882;0.537407671;0.398473757;0.50684163;0.387174111;0.392130317;0.38512265;0.375916097
3.75;0.556600946;0.416603509;0.374369846;0.413009054;0.483166512;0.526088781;0.660818834;0.51287882;0.539883967;0.402804366;0.50684163;0.391140102;0.397040347;0.385898952;0.375916097
3.8;0.543805522;0.421139002;0.496394811;0.415806114;0.486643592;0.532504498;0.667234551;0.505622644;0.537452578;0.398659813;0.50684163;0.392433025;0.399236265;0.391371559;0.389934438
3.85;0.550267211;0.423709457;0.491403727;0.416075556;0.490858428;0.532504498;0.673650268;0.516522947;0.5479608;0.510075152;0.519673064;0.388518341;0.389949791;0.395285146;0.38892717
3.9;0.543805522;0.419132919;0.482505739;0.415427613;0.480465681;0.538920214;0.667234551;0.510453679;0.539883967;0.51242972;0.513257347;0.39492652;0.389436727;0.392154276;0.394957944
3.95;0.543805522;0.424078864;0.489941044;0.410308223;0.483326894;0.526152938;0.673650268;0.51305846;0.547332103;0.508618784;0.513321504;0.393618205;0.39602961;0.556634009;0.396221841
4;0.556600946;0.419286838;0.499666602;0.56679605;0.490146333;0.538920214;0.667234551;0.520475029;0.544913544;0.510453679;0.513257347;0.391027228;0.394377541;0.546477929;0.395984459
4.05;0.56939637;0.421605891;0.503560675;0.576322735;0.48649604;0.538920214;0.660818834;0.520776567;0.544971281;0.52298999;0.513257347;0.387158719;0.397291749;0.547241399;0.396144852
4.1;0.562998658;0.545475133;0.496715575;0.567270781;0.488382132;0.538920214;0.680065985;0.51287882;0.548146843;0.52868073;0.519673064;0.393623336;0.395721771;0.545663133;0.397229108
4.15;0.562998658;0.548466301;0.510617478;0.567123229;0.488542514;0.538920214;0.673650268;0.517164519;0.543033868;0.521463049;0.500425913;0.39255103;0.393012788;0.546497176;0.408232062
4.2;0.556600946;0.554263933;0.498082029;0.573621904;0.483724641;0.545335931;0.673650268;0.517074699;0.547396256;0.526268421;0.500425913;0.394777731;0.398774507;0.556659672;0.411247449
4.25;0.556600946;0.557593724;0.500590402;0.569073473;0.480183409;0.538920214;0.667234551;0.51287882;0.547447578;0.524080661;0.50684163;0.393248798;0.40251988;0.558212275;0.407231211
4.3;0.562998658;0.553017186;0.506235845;0.571536939;0.488317979;0.667234551;0.654403118;0.521110185;0.547396256;0.52670469;0.50684163;0.55700883;0.403622969;0.555081405;0.397318928
